ID,Award,GrammyYear,Genre,Album,Artist
0,Album Of The Year,2018,General,Golden Hour,Kacey Musgraves
1,Best Traditional Pop Vocal Album,2018,Traditional Pop,My Way,Willie Nelson
2,Best Pop Vocal Album,2018,Pop,Sweetener,Ariana Grande
3,Best Dance/Electronic Album,2018,Dance/Electronic Music,Woman Worldwide,Justice
4,Best Contemporary Instrumental Album,2018,Contemporary Instrumental Music,Steve Gadd Band,Steve Gadd Band
5,Best Rock Album,2018,Rock,From The Fires,Greta Van Fleet
6,Best Alternative Music Album,2018,Alternative,Colors,Beck
7,Best Urban Contemporary Album,2018,R&B,Everything Is Love,The Carters
8,Best R&B Album,2018,R&B,H.E.R.,H.E.R.
9,Best Rap Album,2018,Rap,Invasion Of Privacy,Cardi B
10,Best Country Album,2018,Country,Golden Hour,Kacey Musgraves
11,Best New Age Album,2018,New Age,Opium Moon,Opium Moon
12,Best Jazz Vocal Album,2018,Jazz,The Window,Cécile McLorin Salvant
